x,y,z,position
0.66,11.33,-78.43,4
1.42,11.23,-78.46,4
1.12,10.55,-79.21,4
0.72,10.76,-79.02,4
1.32,11.38,-78.32,4
0.33,10.69,-79.11,4
0.63,10.63,-79.17,4
0.76,7.98,-81.9,4
0.16,5.9,-84.07,4
0.3,3.7,-86.28,4
-0.04,1.73,-88.27,4
0.0,0.74,-89.26,4
0.68,0.4,-89.21,4
1.34,1.03,-88.31,4
1.06,0.65,-88.75,4
0.5,0.33,-89.4,4
0.52,0.1,-89.47,4
-0.1,-1.39,-88.6,4
-0.73,-2.01,-87.86,4
-0.24,-1.91,-88.08,4
-0.78,-3.14,-86.76,4
-0.32,-2.82,-87.16,4
-0.78,-3.09,-86.81,4
-0.82,-2.48,-87.39,4
-1.08,-2.56,-87.22,4
-0.86,-2.41,-87.44,4
0.14,-2.14,-87.86,4
-0.43,-2.59,-87.37,4
1.27,-2.29,-87.38,4
0.12,-2.5,-87.49,4
0.13,-2.63,-87.37,4
0.94,-3.2,-86.66,4
-0.1,-1.67,-88.33,4
-1.2,-5.03,-84.8,4
-1.33,-3.78,-85.99,4
-1.85,-0.86,-87.96,4
-2.25,-3.14,-86.13,4
-1.92,-3.14,-86.32,4
-2.05,-2.38,-86.86,4
-2.01,-3.56,-85.91,4
-2.1,-2.14,-87.0,4
-1.3,-1.43,-88.06,4
-0.81,-0.9700001,-88.74,4
-0.92,-2.67,-87.18,4
-1.74,-3.34,-86.23,4
-1.69,-2.26,-87.18,4
-1.84,-0.37,-88.12,4
-1.69,-0.84,-88.11,4
-1.52,-2.1,-87.41,4
-1.58,-2.33,-87.18,4
